date," ""temperature_degC"""," ""dewpoint_degC"""," ""cloud_fraction"""," ""press_msl_hPa"""," ""wind_spd_ms"""," ""wind_dir_degrees"""
1/4/10 11:00,-9.4,-11.7,1,1032.626667,0,0
1/4/10 12:00,-9.4,-11.7,1,1032.8,0,0
1/4/10 13:00,-9.4,-11.1,1,1033.04,1.5,132.6666667
1/4/10 14:00,-9.4,-11.1,1,1033.286667,1.5,150
1/4/10 15:00,-9.4,-11.1,1,1033.2,1.5,150
1/4/10 16:00,-8.9,-11.03333333,1,1033.426667,1.5,125.3333333
1/4/10 17:00,-8.42,-10.81333333,1,1033.533333,1.82,165.3333333
1/4/10 18:00,-8.3,-10.6,1,1033.1,2.1,170
1/4/10 19:00,-8,-10,1,1031.993333,2.158823529,188.8235294
1/4/10 20:00,-7.72,-9.92,1,1031.273333,2.1,160
1/4/10 21:00,-7.2,-9.4,1,1031.1,2.1,160
1/4/10 22:00,-7.504761905,-9.247619048,1,1031.2,2.180952381,170
1/4/10 23:00,-7.368421053,-9.315789474,1,1031.173333,1.731578947,162.1052632
1/5/10 00:00,-7.8,-9.4,1,1031,3.1,160
1/5/10 01:00,-7.827586207,-9.482758621,1,1030.813333,3.1,197.2413793
1/5/10 02:00,-8.158823529,-10,1,1030.86,2.6,171.1764706
1/5/10 03:00,-8.3,-10.6,1,1030.6,3.1,150
1/5/10 04:00,-8.966666667,-11.18,1,1030.146667,3.6,150
1/5/10 05:00,-9.490566038,-11.74528302,1,1029.76,3.675471698,151.509434
1/5/10 06:00,-10,-11.7,1,1029.5,3.6,160
1/5/10 07:00,-9.804878049,-11.75853659,1,1028.366667,3.197560976,150
1/5/10 08:00,-9.494117647,-11.74705882,1,1027.473333,3.678431373,141.5686275
1/5/10 09:00,-10,-12.2,1,1027.3,3.6,160
1/5/10 10:00,-9.247619048,-11.81428571,1,1026.68,2.10952381,130
1/5/10 11:00,-9.211764706,-11.84117647,0.875,1025.793333,3.835294118,140
1/5/10 12:00,-9.4,-11.1,1,1025.1,3.6,140
1/5/10 13:00,-9.231578947,-11.05789474,1,1024.873333,3.1,145.7894737
1/5/10 14:00,-9.334693878,-11.08367347,1,1024.66,3.936734694,140
1/5/10 15:00,-9.4,-11.7,1,1024.4,4.1,150
1/5/10 16:00,-9.311111111,-11.07777778,1,1023.806667,3.1,160
1/5/10 17:00,-8.651724138,-10.71034483,1,1023.08,3.1,154.4827586
1/5/10 18:00,-8.3,-10.6,1,1022.3,3.6,140
1/5/10 19:00,-7.876190476,-10,1,1020.7,4.480952381,136.1904762
1/5/10 20:00,-7.127272727,-9.254545455,1,1019.386667,4.418181818,130
1/5/10 21:00,-6.7,-8.9,1,1019.3,1.5,70
1/5/10 22:00,-6.768571429,-8.922857143,1,1019.633333,3.214285714,50
1/5/10 23:00,-7.96,-9.08,1,1019.24,3.1,62
1/6/10 00:00,-7.8,-9.4,1,1019.5,2.6,30
1/6/10 01:00,-8.22,-10,1,1019.613333,1.66,22.66666667
1/6/10 02:00,-8.515384615,-10.30769231,1,1019.74,3.6,10
1/6/10 03:00,-9.4,-11.1,1,1020,3.1,10
1/6/10 04:00,-9.133333333,-11.03333333,1,1020.126667,3.766666667,350
1/6/10 05:00,-8.92962963,-11.07037037,1,1020.193333,4.925925926,350
1/6/10 06:00,-8.9,-11.1,1,1019.5,12.9,360
1/6/10 07:00,-10,-12.91111111,1,1019.413333,15.02222222,358.8888889
1/6/10 08:00,-10.68,-13.24,1,1019.66,16.1,350
1/6/10 09:00,-10.6,-13.3,1,1020.7,15.4,350
1/6/10 10:00,-11.61428571,-13.95714286,1,1023.06,13.97142857,335.7142857
1/6/10 11:00,-12.47826087,-15.34782609,1,1024.246667,12.4,340
1/6/10 12:00,-12.8,-16.1,1,1025.2,14.4,330
1/6/10 13:00,-13.1,-16.9,1,1026.533333,14.4,340
1/6/10 14:00,-14.57142857,-17.42857143,0.964285714,1027.64,18.28571429,330
1/6/10 15:00,-15.6,-18.3,1,1029.2,17,330
1/6/10 16:00,-15.6,-18.9,1,1031.046667,18.36666667,330
