"date", "data_product_code", "temperature", "temperature_dewpoint", "cloud_cover_fraction", "air_pressure", "wind_speed", "wind_dir_degrees", "ISD_precip_01hr"
1950-11-01 13:00:00, "SAO  ", -1.1, -3.3, 0, 1021.7, 1.5, 315, 0
1950-11-01 14:00:00, "SAO  ", 0.6, -2.2, 0, 1022, 0, 0, 0
1950-11-01 15:00:00, "SAO  ", 5.6, -1.7, 0, 1022, 3.6, 270, 0
1950-11-01 16:00:00, "SAO  ", 8.3, -3.3, 0, 1022.4, 2.6, 270, 0
1950-11-01 17:00:00, "SAO  ", 9.4, -2.8, 0, 1021.7, 1.5, 270, 0
1950-11-01 18:00:00, "SAO  ", 11.1, -2.8, 0, 1020.7, 0, 0, 0
1950-11-01 19:00:00, "SAO  ", 12.2, -2.8, 0.25, 1019.3, 1.5, 270, 0
1950-11-01 20:00:00, "SAO  ", 12.8, -1.7, 0.625, 1019, 1.5, 135, 0
1950-11-01 21:00:00, "SAO  ", 11.7, -2.2, 0.875, 1019, 0, 0, 0
1950-11-01 22:00:00, "SAO  ", 11.1, -2.2, 1, 1019.3, 0.5, 135, 0
1950-11-01 23:00:00, "SAO  ", 9.4, -3.9, 1, 1020, 3.1, 45, 0
1950-11-02 00:00:00, "SAO  ", 6.7, -5.6, 0.75, 1020, 4.1, 45, 0
1950-11-02 01:00:00, "SAO  ", 3.9, -5, 0.5, 1020.7, 3.6, 45, 0
1950-11-02 02:00:00, "SAO  ", 3.3, -5, 0.25, 1020, 4.1, 45, 0
1950-11-02 03:00:00, "SAO  ", 3.3, -4.4, 0.25, 1019.3, 2.1, 23, 0
1950-11-02 04:00:00, "SAO  ", 2.8, -4.4, 0.25, 1019, 1.5, 90, 0
1950-11-02 05:00:00, "SAO  ", 1.7, -5.6, 0.25, 1018, 1.5, 360, 0
1950-11-02 06:00:00, "SAO  ", 1.1, -5.6, 0.25, 1016.9, 1.5, 293, 0
1950-11-02 07:00:00, "SAO  ", 1.7, -3.9, 0.75, 1016.6, 1, 23, 0
1950-11-02 08:00:00, "SAO  ", 2.8, -3.3, 1, 1015.9, 1, 270, 0
1950-11-02 09:00:00, "SAO  ", 2.2, -3.3, 1, 1015.9, 0.5, 338, 0
1950-11-02 10:00:00, "SAO  ", 2.2, -4.4, 0.75, 1016.6, 2.1, 315, 0
1950-11-02 11:00:00, "SAO  ", 1.7, -5, 0.875, 1016.9, 5.2, 360, 0
1950-11-02 12:00:00, "SAO  ", 1.7, -4.4, 1, 1019, 8.8, 360, 0
1950-11-02 13:00:00, "SAO  ", 0, -0.6, 1, 1021.7, 6.7, 338, 0
1950-11-02 14:00:00, "SAO  ", 1.1, 0, 1, 1023.7, 7.7, 360, 0
1950-11-02 15:00:00, "SAO  ", 1.1, 0.6, 1, 1025.1, 9.3, 360, 0
1950-11-02 16:00:00, "SAO  ", 0, 0, 1, 1027.8, 8.2, 338, 0
1950-11-02 17:00:00, "SAO  ", 0.6, 0.6, 1, 1029.5, 8.8, 360, 3
1950-11-02 18:00:00, "SAO  ", 0.6, 0, 1, 1029.5, 8.8, 338, 5
1950-11-02 19:00:00, "SAO  ", 0.6, 0, 1, 1030.8, 10.8, 338, 5
1950-11-02 20:00:00, "SAO  ", 2.8, 0.6, 0.875, 1030.1, 10.8, 315, 3
1950-11-02 21:00:00, "SAO  ", 0.6, -0.6, 1, 1031.5, 7.2, 338, 0
1950-11-02 22:00:00, "SAO  ", 0, 0, 1, 1032.5, 7.7, 338, 8
1950-11-02 23:00:00, "SAO  ", -0.6, -0.6, 1, 1033.9, 5.7, 338, 13
1950-11-03 00:00:00, "SAO  ", -1.1, -1.1, 1, 1034.2, 8.2, 360, 8
1950-11-03 01:00:00, "SAO  ", -1.7, -3.9, 0.75, 1034.9, 8.8, 360, 0
1950-11-03 02:00:00, "SAO  ", -2.2, -3.3, 1, 1035.9, 8.2, 360, 0
