"date", "data_product_code", "temperature", "temperature_dewpoint", "cloud_cover_fraction", "air_pressure", "wind_speed", "wind_dir_degrees", "ISD_precip_01hr"
2017-01-01 00:52:00, "FM-15", -7.8, -9.4, NA, 1010.5, 0, 0, 0
2017-01-01 01:52:00, "FM-15", -7.8, -10, NA, 1011.4, 4.1, 320, 0
2017-01-01 02:52:00, "FM-15", -2.2, -11.1, NA, 1010.6, 3.1, 330, 0
2017-01-01 03:52:00, "FM-15", -5.6, -12.2, NA, 1010.5, 4.1, 10, 0
2017-01-01 04:52:00, "FM-15", -8.3, -13.3, NA, 1010.8, 2.1, 260, 0
2017-01-01 05:52:00, "FM-15", -10, -14.4, NA, 1011, 1.5, 310, 0
2017-01-01 06:52:00, "FM-15", -9.4, -14.4, NA, 1010.4, 1.5, 300, 0
2017-01-01 06:59:00, "SOD  ", NA, NA, NA, NA, NA, NA, NA
2017-01-01 06:59:00, "SOM  ", NA, NA, NA, NA, NA, NA, NA
2017-01-01 07:52:00, "FM-15", -8.3, -14.4, NA, 1010.3, 1.5, 360, 0
2017-01-01 08:52:00, "FM-15", -10, -14.4, NA, 1010.9, 1.5, 270, 0
2017-01-01 09:52:00, "FM-15", -10, -15, NA, 1011, 2.1, 310, 0
2017-01-01 10:52:00, "FM-15", -7.8, -13.3, NA, 1010.6, 2.1, 60, 0
2017-01-01 11:52:00, "FM-15", -10, -14.4, NA, 1011.1, 3.1, 20, 0
2017-01-01 12:52:00, "FM-15", -10, -14.4, NA, 1012.4, 0, 0, 0
2017-01-01 13:52:00, "FM-15", -10.6, -13.9, NA, 1012.7, 0, 0, 0
2017-01-01 14:52:00, "FM-15", -12.2, -15.6, NA, 1011.9, 0, 0, 0
2017-01-01 15:52:00, "FM-15", -8.9, -12.8, NA, 1012.5, 0, 0, 0
2017-01-01 16:52:00, "FM-15", -7.2, -10.6, NA, 1012.8, 2.6, 110, 0
2017-01-01 17:52:00, "FM-15", -6.1, -10, NA, 1011.9, 2.6, 80, 0
2017-01-01 18:52:00, "FM-15", -6.1, -9.4, NA, 1011.1, 3.6, 80, 0
2017-01-01 19:26:00, "FM-16", -5.6, -8.3, NA, NA, 5.1, 80, NA
2017-01-01 19:52:00, "FM-15", -5.6, -8.9, NA, 1010.2, 6.7, 80, 0
2017-01-01 20:52:00, "FM-15", -6.1, -8.9, NA, 1010, 5.7, 90, 0
2017-01-01 21:37:00, "FM-16", -6.7, -9.4, NA, NA, 6.7, 90, NA
2017-01-01 21:52:00, "FM-15", -6.7, -8.9, NA, 1009.8, 6.7, 90, 0
2017-01-01 22:52:00, "FM-15", -7.2, -8.9, NA, 1010.2, 4.6, 100, 0
