total_stations: 259
0.27321232032854215 133.42348418891171
00108:00259; GHCND:CA004020560; BEECHY, CA
00109:00259; GHCND:CA004020720; BISHOPRIC, CA
00110:00259; GHCND:CA004020772; BLUMENHOF, CA
00111:00259; GHCND:CA004021025; CABRI, CA
00112:00259; GHCND:CA004021040; CADILLAC, CA
00113:00259; GHCND:CA004021200; CARMICHAEL, CA
00114:00259; GHCND:CA004021240; CARMICHAEL EXPERIMENTAL ST, CA
00115:00259; GHCND:CA004021520; CHAPLIN, CA
00116:00259; GHCND:CA004021600; CODERRE, CA
00117:00259; GHCND:CA004021650; CONGRESS, CA
00118:00259; GHCND:CA004021850; COURVAL, CA
00119:00259; GHCND:CA004021851; COURVAL, CA
00120:00259; GHCND:CA004021996; CYPRESS HILLS, CA
00121:00259; GHCND:CA004022180; DEMAINE CDA EPF, CA
00122:00259; GHCND:CA004022328; EASTLEIGH, CA
00123:00259; GHCND:CA004022540; FLINTOFT, CA
00124:00259; GHCND:CA004022680; FOX VALLEY, CA
00125:00259; GHCND:CA004022800; GARDEN HEAD, CA
00126:00259; GHCND:CA004022840; GILROY CDA EPF, CA
00127:00259; GHCND:CA004022934; GLENTWORTH, CA
00128:00259; GHCND:CA004022936; GOLDEN PRAIRIE, CA
00129:00259; GHCND:CA004022960; GRAVELBOURG, CA
00130:00259; GHCND:CA004022976; GRAVELBOURG CDA EPF, CA
00131:00259; GHCND:CA004023053; GULL LAKE, CA
00132:00259; GHCND:CA004023060; GULL LAKE CDA EPF, CA
00133:00259; GHCND:CA004023160; HAZENMORE, CA
00134:00259; GHCND:CA004023210; HERBERT, CA
00135:00259; GHCND:CA004023212; HERBERT 2, CA
00136:00259; GHCND:CA004023240; HIGH POINT, CA
00137:00259; GHCND:CA004023260; HODGEVILLE, CA
00138:00259; GHCND:CA004023263; HODGEVILLE 2, CA
00139:00259; GHCND:CA004023430; ILLERBRUN, CA
00140:00259; GHCND:CA004023500; INGEBRIGHT LAKE, CA
00141:00259; GHCND:CA004023520; INSTOW, CA
00142:00259; GHCND:CA004023800; KINCAID, CA
00143:00259; GHCND:CA004024080; KLINTONEL, CA
00144:00259; GHCND:CA004024120; KYLE CDA EPF, CA
00145:00259; GHCND:CA004024121; KYLE I, CA
00146:00259; GHCND:CA004024135; LAFLECHE, CA
00147:00259; GHCND:CA004024160; LEADER, CA
00148:00259; GHCND:CA004024161; LEADER 2, CA
00149:00259; GHCND:CA004024400; LIMERICK, CA
00150:00259; GHCND:CA004024714; LUCKY LAKE, CA
00151:00259; GHCND:CA004024715; LUCKY LAKE, CA
00152:00259; GHCND:CA004024919; MAPLE CREEK, CA
00153:00259; GHCND:CA004024920; MAPLE CREEK, CA
00154:00259; GHCND:CA004024936; MAPLE CREEK NORTH, CA
00155:00259; GHCND:CA004024937; MAPLE CREEK CDA EPF, CA
00156:00259; GHCND:CA004024940; MAPLE CREEK H S, CA
00157:00259; GHCND:CA004025047; MATADOR, CA
00158:00259; GHCND:CA0040250MP; MATADOR, CA
00159:00259; GHCND:CA004025242; MITCHELLTON, CA
00160:00259; GHCND:CA004025485; NEIDPATH, CA
00161:00259; GHCND:CA004025855; PALMER, CA
00162:00259; GHCND:CA004025860; PAMBRUN CDA EPF, CA
00163:00259; GHCND:CA004026040; PENNANT, CA
00164:00259; GHCND:CA004026175; PORTREEVE, CA
00165:00259; GHCND:CA004026480; READLYN, CA
00166:00259; GHCND:CA004026799; RIVERHURST, CA
00167:00259; GHCND:CA004026840; ROADENE, CA
00168:00259; GHCND:CA004027000; RUSH LAKE, CA
00169:00259; GHCND:CA004027400; SHACKLETON CDA EPF, CA
00170:00259; GHCND:CA004027440; SHAMROCK, CA
00171:00259; GHCND:CA004027480; SHAUNAVON, CA
00172:00259; GHCND:CA004027482; SHAUNAVON CDA EPF, CA
00173:00259; GHCND:CA004027485; SHAUNAVON 2, CA
00174:00259; GHCND:CA004027486; SHAUNAVON 3, CA
00175:00259; GHCND:CA004027775; STEWART VALLEY, CA
00176:00259; GHCND:CA004027960; SURPRISE, CA
00177:00259; GHCND:CA004028035; SWIFT CURRENT, CA
00178:00259; GHCND:CA004028038; SWIFT CURRENT, CA
00179:00259; GHCND:CA004028040; SWIFT CURRENT A, CA
00180:00259; GHCND:CA004028056; SWIFT CURRENT CDA SRL, CA
00181:00259; GHCND:CA004028060; SWIFT CURRENT CDA, CA
00182:00259; GHCND:CA004028101; TOMPKINS, CA
00183:00259; GHCND:CA004028360; VALJEAN, CA
00184:00259; GHCND:CA004028500; WAPASHOE, CA
00185:00259; GHCND:CA004029029; WOOD MOUNTAIN, CA
00186:00259; GHCND:CA004029030; WOODROW, CA
00187:00259; GHCND:CA00402DAF0; LEADER AIRPORT, CA
00188:00259; GHCND:CA004030569; BENGOUGH, CA
00189:00259; GHCND:CA004030594; BIG BEAVER, CA
00190:00259; GHCND:CA004030800; BRACKEN CDA EPF, CA
00191:00259; GHCND:CA004030805; BRACKEN NORTH, CA
00192:00259; GHCND:CA004031480; CHAMBERY, CA
00193:00259; GHCND:CA004031581; CLAYDON, CA
00194:00259; GHCND:CA004031585; CLIMAX, CA
00195:00259; GHCND:CA004031760; CONSUL, CA
00196:00259; GHCND:CA004031776; CONSUL, CA
00197:00259; GHCND:CA004031844; CORONACH, CA
00198:00259; GHCND:CA004031845; CORONACH, CA
00199:00259; GHCND:CA0040318MN; CORONACH SPC, CA
00200:00259; GHCND:CA004031999; CYPRESS HILLS PARK, CA
00201:00259; GHCND:CA004032000; CYPRESS HILLS PARK, CA
00202:00259; GHCND:CA004032320; EASTEND CDA EPF, CA
00203:00259; GHCND:CA004032321; EASTEND CDA EPF SOUTH, CA
00204:00259; GHCND:CA004032322; EASTEND CYPRESS AUT, CA
00205:00259; GHCND:CA004032323; EASTEND 2, CA
00206:00259; GHCND:CA004032510; FLAP JACK, CA
00207:00259; GHCND:CA004032640; FORT WALSH, CA
00208:00259; GHCND:CA004032762; FRENCHMAN VALLEY, CA
00209:00259; GHCND:CA004032766; FRONTIER, CA
00210:00259; GHCND:CA004034380; LIDGETT, CA
00211:00259; GHCND:CA004034500; LISIEUX, CA
00212:00259; GHCND:CA004034910; MANKOTA, CA
00213:00259; GHCND:CA004035120; MERRYFLAT, CA
00214:00259; GHCND:CA004035200; MINTON, CA
00215:00259; GHCND:CA004035480; NASHLYN, CA
00216:00259; GHCND:CA004036440; RAVENSCRAG, CA
00217:00259; GHCND:CA004036841; ROBSART, CA
00218:00259; GHCND:CA004036844; ROCKGLEN AUT, CA
00219:00259; GHCND:CA004037360; SENATE, CA
00220:00259; GHCND:CA004038400; VAL MARIE, CA
00221:00259; GHCND:CA004038410; VAL MARIE EXPERIMENTAL ST, CA
00222:00259; GHCND:CA004038412; VAL MARIE SOUTHEAST, CA
00223:00259; GHCND:CA004038460; VICEROY CDA EPF, CA
00224:00259; GHCND:CA004038470; VICEROY EXPERIMENTAL ST, CA
00225:00259; GHCND:CA004038490; VIDORA, CA
00226:00259; GHCND:CA004039000; WILLOW CREEK, CA
00227:00259; GHCND:CA004039001; WILLOW CREEK, CA
00228:00259; GHCND:CA004039028; WOODLOT, CA
