Full_Zone_Code,State_Name,Zone_Name,Center_Lon,Center_Lat
0803,Florida,North Central,-81.75687322,28.79936393
0804,Florida,South Central,-81.53623218,27.68892665
0805,Florida,Everglades and Southwest Co,-80.96922496,26.6280496
0806,Florida,Lower East Coast,-80.24654217,26.24809547
0807,Florida,Keys,-81.03725513,24.91850289
0901,Georgia,Northwest,-85.07105433,34.45504202
0902,Georgia,North Central,-84.09849593,34.25779311
0903,Georgia,Northeast,-83.09858842,34.23292868
0904,Georgia,West Central,-84.63120649,33.00003044
0905,Georgia,Central,-83.28053382,32.86801453
0906,Georgia,East Central,-82.03375575,32.87408293
0907,Georgia,Southwest,-84.48547168,31.4294125
0908,Georgia,South Central,-83.26240023,31.38799154
0909,Georgia,Southeast,-81.89610871,31.49075521
1001,Idaho,Panhandle,-116.6332867,48.22752296
1002,Idaho,North Central Prairies,-116.4455711,46.11998503
1003,Idaho,North Central Canyons,-116.2774252,46.37739865
1004,Idaho,Central Mountains,-115.3276967,45.2362587
1005,Idaho,Southwestern Valleys,-116.3006081,43.67606524
1006,Idaho,Southwestern Highlands,-115.8704723,42.46305515
1007,Idaho,Central Plains,-114.2492515,42.88445712
1008,Idaho,Northeastern Valleys,-113.5987051,44.48972214
1009,Idaho,Upper Snake River Plains,-112.7367052,43.49784869
1010,Idaho,Eastern Highlands,-111.995866,42.95279089
1101,Illinois,Northwest,-89.810288,41.78484432
1102,Illinois,Northeast,-88.36316506,41.76957127
1103,Illinois,West,-90.70172679,40.45249362
1104,Illinois,Central,-89.34306809,40.43245177
1105,Illinois,East,-88.1093111,40.55658249
1106,Illinois,West Southwest,-90.01963826,39.38385705
1107,Illinois,East Southeast,-88.33971546,39.17658545
1108,Illinois,Southwest,-89.51942275,38.02360487
1109,Illinois,Southeast,-88.52490143,37.99476099
1201,Indiana,Northwest,-87.02605091,41.13408476
1202,Indiana,North Central,-86.12574391,41.11922094
1203,Indiana,Northeast,-85.22422231,41.1743424
1204,Indiana,West Central,-87.09627135,39.84975703
1205,Indiana,Central,-86.0113674,39.86147443
1206,Indiana,East Central,-85.1572966,40.07355983
1207,Indiana,Southwest,-87.25423566,38.49492188
