"Date","CDDC","Center_Lat","Center_Lon","HDDC","PCPN","PDSI","PHDI","PMDI","SP01","SP02","SP03","SP06","SP09","SP12","SP24","TMAX","TMIN","TMPC","ZNDX","Full_Zone_Code"
"1895-01-15",0,44.13056530811196,-101.02158947638253,1737.141571877261,13.259728798371246,0.5606570206510322,0.5606570206510322,0.5606570206510322,0.5623797433671677,NA,NA,NA,NA,NA,NA,-6.1942403161124755,-19.441138047182363,-12.798378954754408,1.6884601116089129,"Bad River"
"1895-02-15",0,44.13056530811196,-101.02158947638253,1443.5926866269983,19.58822274076303,1.2794016440555354,1.2794016440555354,1.2794016440555354,0.8936644523159483,0.8065477143623836,NA,NA,NA,NA,NA,-4.000255179442307,-16.595050838735272,-10.31887563322833,2.3259200260646353,"Bad River"
"1895-03-15",0,44.13056530811196,-101.02158947638253,1089.7868595869795,29.224279458000222,2.0843214729669803,2.0843214729669803,2.0843214729669803,0.4215330481857418,0.6489929626414642,0.6678324233111641,NA,NA,NA,NA,6.901664058009569,-9.303671292521296,-1.202759092427955,2.8051975005016905,"Bad River"
"1895-04-15",9.244524827908066,44.13056530811196,-101.02158947638253,398.2569417897562,58.928,2.3127229198693255,2.3127229198693255,2.3127229198693255,0.5194671489674485,0.550343176502158,0.7132264385485934,NA,NA,NA,NA,19.473357448372422,2.7468977310698874,11.12783926351651,1.336927063423171,"Bad River"
"1895-05-15",21.786859586979357,44.13056530811196,-101.02158947638253,302.09708647999065,38.3388017590106,1.8904018412087256,1.8904018412087256,1.371277868743435,-0.9224159159257971,-0.39583202900478404,-0.32432831317232597,NA,NA,NA,NA,21.104423150437526,5.526897731069887,13.318904965581616,-0.5557733642982166,"Bad River"
"1895-06-15",71.41386386419325,44.13056530811196,-101.02158947638253,154.74599144557226,101.85159113346401,2.7681755998133224,2.7681755998133224,2.7681755998133224,0.6828832620464356,-0.18614587315365821,0.04118987168358379,0.2234454454322708,NA,NA,NA,24.238123775312104,9.324766326939683,16.791977902158443,3.227708253692684,"Bad River"
"1895-07-15",224.06276882977488,44.13056530811196,-101.02158947638253,33.05328510325516,17.939259086412328,2.709241301878426,2.709241301878426,2.709241301878426,-2.175043998529926,-0.33520434070703564,-0.8007225255629454,-0.3608173628281422,NA,NA,NA,30.64304360422355,12.890000000000002,21.764766326939682,0.669182637171858,"Bad River"
"1895-08-15",209.1598553097655,44.13056530811196,-101.02158947638253,22.840144690234517,21.949121421505083,1.2615262079803962,2.228394606697,1.8390516273480317,-1.2607518579162291,-2.337270239925329,-0.8257371917395873,-0.8075254193676358,NA,NA,NA,30.884138638641936,12.428649786139307,21.67586136135807,-0.5930436042235454,"Bad River"
"1895-09-15",63.435764552560975,44.13056530811196,-101.02158947638253,151.9686155851126,11.197506057608217,0.5916210452455927,0.5916210452455927,0.3774530742503769,-1.0583066096371483,-1.7244818151440904,-2.441095034418387,-1.1363648800373358,-0.9041093062886488,NA,NA,26.46137954621398,6.946459717302533,16.693386780725703,-1.6116933903628519,"Bad River"
"1895-10-15",0,44.13056530811196,-101.02158947638253,636.2853929693152,2.5264655837731897,0.03607352803639918,0.03607352803639918,-0.4063062153307682,-1.9911898716835839,-1.846613219274297,-2.2251388357951227,-1.6981824400186682,-1.1789049655816133,NA,NA,15.961408878567262,-2.110598355944465,6.928649786139307,-1.4996861558511259,"Bad River"
"1895-11-15",0,44.13056530811196,-101.02158947638253,1113.2540085544279,18.471919052329948,0.2955406770038478,0.2955406770038478,0.26933613914362214,0.6920365668650097,-0.8332919434605066,-1.3421314041302066,-1.3559561986232649,-1.178591121432739,NA,NA,4.202474580632365,-8.764766326939682,-2.2861458731536586,0.8016278854509387,"Bad River"
"1895-12-15",0,44.13056530811196,-101.02158947638253,1277.3919631758258,5.131728798371244,0.0957596838875251,0.0957596838875251,-0.09734258504258775,-1.0016347256562843,0.11397829646482238,-1.100503518679268,-2.4800293323532836,-1.3152991779722325,-1.0960217035351778,NA,2.3183066096371485,-11.434736994586398,-4.556459717302532,-0.515583689767823,"Bad River"
"1896-01-15",0,44.13056530811196,-101.02158947638253,1433.6430384949251,7.047481827175353,0.00789108801773164,0.00789108801773164,-0.11148122368451985,-0.36633554768405197,-1.2353353505308617,-0.1645179877027197,-1.9371167379535648,-1.6526349228094745,-1.1700655049119133,NA,-0.044992174028703924,-14.667028740893715,-7.36978783332167,-0.23580269665150028,"Bad River"
"1896-02-15",0,44.13056530811196,-101.02158947638253,1094.091220009334,9.452137664907244,-0.07424031611247495,-0.07424031611247495,-0.17254692574962316,-0.15605103588846136,-0.4205983559444648,-0.8886566263446521,-1.6069925683350843,-1.4849853338233583,-1.299751660763039,NA,4.092219401190058,-10.85426964846576,-3.375335350530862,-0.24752541936763572,"Bad River"
"1896-03-15",0,44.13056530811196,-101.02158947638253,1307.4736994586399,30.820769272206277,0.9957303515342414,0.15864294593396033,0.17162104524559263,0.5466132192742967,0.3152336730603193,0.09078119026951273,-0.8968683987166035,-2.2548904965581613,-1.3153940152374295,NA,1.833285103255161,-12.023955804316884,-5.0953353505308625,0.6834747777855544,"Bad River"
"1896-04-15",0,44.13056530811196,-101.02158947638253,603.7335744837243,71.75462747911331,1.5793361391436225,1.5793361391436225,1.5793361391436225,0.9006276882977485,0.9764890496558162,0.8315985530976548,0.6868322261579742,-0.9198758303815197,-1.2010363697118196,NA,13.98802209784156,0.3575254193676357,7.154795659292965,1.995423347590713,"Bad River"
