"date", "data_product_code", "temperature", "temperature_dewpoint", "cloud_cover_fraction", "air_pressure", "wind_speed", "wind_dir_degrees", "ISD_precip_01hr"
1972-01-01 00:00:00, "SAO  ", -1.7, -5, 0.875, 1014.8, 1.5, 170, 0
1972-01-01 03:00:00, "SAO  ", -0.6, -5, 1, 1015.6, 6.7, 330, 0
1972-01-01 06:00:00, "SAO  ", -2.8, -8.3, 0.25, 1015.4, 6.2, 320, 0
1972-01-01 09:00:00, "SAO  ", -5.6, -13.3, 0.875, 1016.4, 4.1, 290, 0
1972-01-01 12:00:00, "SAO  ", -6.7, -12.8, 0.25, 1018, 3.6, 300, 0
1972-01-01 15:00:00, "SAO  ", -7.8, -12.8, 0.125, 1018.3, 4.1, 300, 0
1972-01-01 18:00:00, "SAO  ", 1.7, -15, 0, 1017.4, 9.8, 310, 0
1972-01-01 21:00:00, "SAO  ", 2.2, -15.6, 1, 1014, 5.2, 330, 0
1972-01-02 00:00:00, "SAO  ", -2.2, -13.9, 1, 1013.5, 3.1, 140, 0
1972-01-02 03:00:00, "SAO  ", -2.8, -12.2, 1, 1011.1, 1.5, 320, 0
1972-01-02 06:00:00, "SAO  ", -1.7, -7.2, 1, 1007.4, 2.1, 330, 0
1972-01-02 09:00:00, "SAO  ", -3.3, -5, 1, 1005.9, 4.1, 350, 0
1972-01-02 12:00:00, "SAO  ", -2.8, -4.4, 1, 1005.6, 2.6, 340, 0
1972-01-02 15:00:00, "SAO  ", -3.3, -5, 1, 1007.1, 4.1, 10, 0
1972-01-02 18:00:00, "SAO  ", -4.4, -7.2, 1, 1009.4, 6.7, 20, 3
1972-01-02 21:00:00, "SAO  ", -6.1, -10, 1, 1011.3, 10.8, 360, 0
1972-01-03 00:00:00, "SAO  ", -8.3, -11.1, 1, 1015.1, 7.2, 360, 0
1972-01-03 03:00:00, "SAO  ", -8.9, -12.2, 1, 1019, 7.7, 360, 0
1972-01-03 06:00:00, "SAO  ", -10.6, -14.4, 1, 1023.1, 8.2, 340, 0
1972-01-03 09:00:00, "SAO  ", -12.2, -16.1, 1, 1026.3, 10.8, 330, 0
1972-01-03 12:00:00, "SAO  ", -13.3, -17.2, 1, 1028, 8.2, 330, 0
1972-01-03 15:00:00, "SAO  ", -15.6, -22.8, 0.875, 1029.8, 9.8, 330, 0
1972-01-03 18:00:00, "SAO  ", -12.8, -20.6, 1, 1032.3, 10.8, 340, 0
1972-01-03 21:00:00, "SAO  ", -10.6, -21.7, 0.25, 1030.7, 10.3, 320, 0
1972-01-04 00:00:00, "SAO  ", -14.4, -22.2, 0.25, 1032, 6.2, 340, 0
1972-01-04 03:00:00, "SAO  ", -16.7, -22.2, 0, 1033, 5.7, 340, 0
1972-01-04 06:00:00, "SAO  ", -18.3, -22.8, 0, 1032, 3.1, 260, 0
1972-01-04 09:00:00, "SAO  ", -19.4, -27.2, 0, 1029.8, 3.1, 260, 0
1972-01-04 12:00:00, "SAO  ", -20, -28.3, 0, 1028.2, 3.6, 220, 0
1972-01-04 15:00:00, "SAO  ", -19.4, -27.2, 0, 1026.5, 1.5, 80, 0
1972-01-04 18:00:00, "SAO  ", -12.8, -18.9, 0, 1023.4, 5.7, 150, 0
1972-01-04 21:00:00, "SAO  ", -7.2, -22.2, 0.625, 1018.1, 5.7, 130, 0
1972-01-05 00:00:00, "SAO  ", -11.1, -20.6, 0.75, 1017.5, 2.6, 140, 0
1972-01-05 03:00:00, "SAO  ", -12.8, -21.1, 0.75, 1016.8, 1.5, 330, 0
1972-01-05 06:00:00, "SAO  ", -10.6, -17.8, 0.25, 1014.9, 3.1, 290, 0
1972-01-05 09:00:00, "SAO  ", -8.3, -12.8, 0.75, 1014, 1.5, 200, 0
1972-01-05 12:00:00, "SAO  ", -3.3, -7.8, 1, 1015.5, 8.2, 330, 0
1972-01-05 15:00:00, "SAO  ", -7.8, -11.7, 0.75, 1017.1, 4.1, 210, 0
1972-01-05 18:00:00, "SAO  ", 0.6, -11.1, 0.5, 1016.6, 9.3, 310, 0
1972-01-05 21:00:00, "SAO  ", 1.7, -10.6, 1, 1015.1, 6.2, 350, 0
1972-01-06 00:00:00, "SAO  ", -6.7, -10.6, 0.25, 1016.4, 4.6, 340, 0
1972-01-06 03:00:00, "SAO  ", -8.3, -12.8, 0.5, 1016.6, 4.6, 210, 0
1972-01-06 06:00:00, "SAO  ", -6.1, -11.1, 0.75, 1012.5, 3.1, 200, 0
1972-01-06 09:00:00, "SAO  ", -5, -10.6, 0.75, 1008, 1.5, 190, 0
1972-01-06 12:00:00, "SAO  ", 2.8, -8.3, 0.375, 1007.9, 9.3, 290, 0
1972-01-06 15:00:00, "SAO  ", 5.6, -8.3, 0.875, 1010.7, 8.8, 280, 0
1972-01-06 18:00:00, "SAO  ", 4.4, -5, 0.75, 1013.8, 9.3, 360, 0
1972-01-06 21:00:00, "SAO  ", 3.3, -3.9, 1, 1014.4, 5.2, 350, 0
1972-01-07 00:00:00, "SAO  ", -1.1, -3.9, 1, 1017.3, 7.7, 360, 0
1972-01-07 03:00:00, "SAO  ", -2.8, -3.9, 1, 1020.1, 3.1, 230, 0
1972-01-07 06:00:00, "SAO  ", -3.9, -5, 0.875, 1021, 0, 0, 0
1972-01-07 09:00:00, "SAO  ", -3.9, -6.1, 0, 1020.9, 4.1, 150, 0
1972-01-07 12:00:00, "SAO  ", -5.6, -7.2, 0.25, 1020.2, 1.5, 120, 0
1972-01-07 15:00:00, "SAO  ", -7.2, -9.4, 1, 1020.3, 1.5, 60, 0
1972-01-07 18:00:00, "SAO  ", -1.1, -4.4, 1, 1018.8, 2.6, 130, 0
1972-01-07 21:00:00, "SAO  ", 10.6, -5.6, 0.25, 1010.5, 6.7, 150, 0
1972-01-08 00:00:00, "SAO  ", 3.9, -6.7, 0, 1009.3, 5.2, 150, 0
1972-01-08 03:00:00, "SAO  ", -0.6, -6.1, 0, 1006, 4.6, 150, 0
1972-01-08 06:00:00, "SAO  ", 7.2, -6.1, 0.75, 1002.4, 4.6, 270, 0
1972-01-08 09:00:00, "SAO  ", 5.6, -6.7, 1, 1000.2, 2.6, 220, 0
1972-01-08 12:00:00, "SAO  ", 3.3, -6.7, 0.75, 1000.4, 2.1, 30, 0
1972-01-08 15:00:00, "SAO  ", 2.8, -7.2, 1, 1000.9, 5.2, 300, 0
1972-01-08 18:00:00, "SAO  ", 2.8, -5, 0.75, 1004.7, 14.4, 330, 0
1972-01-08 21:00:00, "SAO  ", 5, -16.7, 0.875, 1005.1, 7.2, 330, 0
1972-01-09 00:00:00, "SAO  ", -0.6, -16.7, 0.125, 1006.4, 4.1, 270, 0
1972-01-09 03:00:00, "SAO  ", -1.1, -17.2, 0.5, 1004, 2.6, 170, 0
1972-01-09 06:00:00, "SAO  ", -5, -10, 0, 1005.3, 6.2, 340, 0
1972-01-09 09:00:00, "SAO  ", -7.2, -11.1, 0, 1003.1, 1.5, 80, 0
1972-01-09 12:00:00, "SAO  ", -6.1, -13.3, 0.25, 1000, 4.6, 210, 0
1972-01-09 15:00:00, "SAO  ", -3.9, -13.3, 0.75, 997.8, 2.1, 150, 0
1972-01-09 18:00:00, "SAO  ", 7.2, -11.1, 1, 997.1, 9.3, 270, 0
1972-01-09 21:00:00, "SAO  ", 7.2, -10, 0.75, 996, 9.3, 270, 0
1972-01-10 00:00:00, "SAO  ", 4.4, -8.9, 0.125, 997.2, 7.7, 260, 0
1972-01-10 03:00:00, "SAO  ", -1.1, -3.3, 0.75, 1001, 10.8, 340, 3
1972-01-10 06:00:00, "SAO  ", -2.2, -6.1, 1, 1000.7, 4.1, 320, 0
1972-01-10 09:00:00, "SAO  ", -1.7, -10, 1, 1002.6, 7.2, 300, 0
1972-01-10 12:00:00, "SAO  ", -5.6, -13.3, 0.875, 1005.2, 4.6, 290, 0
1972-01-10 15:00:00, "SAO  ", -8.3, -16.1, 0.75, 1007.1, 4.1, 260, 0
1972-01-10 18:00:00, "SAO  ", -1.1, -13.3, 1, 1006.1, 3.6, 270, 0
1972-01-10 21:00:00, "SAO  ", 0, -11.1, 1, 1003.8, 3.1, 290, 0
1972-01-11 00:00:00, "SAO  ", -1.7, -11.1, 0.875, 1008.1, 8.2, 300, 0
1972-01-11 03:00:00, "SAO  ", -4.4, -16.1, 0.25, 1011.4, 7.7, 290, 0
1972-01-11 06:00:00, "SAO  ", -8.3, -14.4, 0, 1016, 9.3, 320, 0
1972-01-11 09:00:00, "SAO  ", -11.7, -17.8, 0, 1016.6, 1.5, 290, 0
1972-01-11 12:00:00, "SAO  ", -8.9, -16.1, 1, 1013.1, 6.2, 260, 0
1972-01-11 15:00:00, "SAO  ", -9.4, -14.4, 1, 1008.8, 6.7, 180, 0
1972-01-11 18:00:00, "SAO  ", -4.4, -12.2, 1, 1001.5, 9.8, 180, 0
1972-01-11 21:00:00, "SAO  ", 5, -7.8, 1, 992, 9.3, 240, 0
1972-01-12 00:00:00, "SAO  ", 5.6, -7.8, 1, 987.6, 12.4, 270, 0
1972-01-12 03:00:00, "SAO  ", 5.6, -6.1, 1, 985.5, 10.8, 250, 0
1972-01-12 06:00:00, "SAO  ", 5, -2.2, 1, 987, 11.3, 330, 0
1972-01-12 09:00:00, "SAO  ", -1.1, -3.3, 1, 987.7, 13.9, 330, 0
1972-01-12 12:00:00, "SAO  ", -6.7, -10, 1, 994.5, 13.9, 330, 0
1972-01-12 15:00:00, "SAO  ", -8.3, -12.2, 1, 1001.7, 11.8, 330, 0
1972-01-12 18:00:00, "SAO  ", -9.4, -12.2, 1, 1008.3, 9.3, 340, 3
1972-01-12 21:00:00, "SAO  ", -8.9, -12.2, 1, 1008.2, 5.7, 340, 0
1972-01-13 00:00:00, "SAO  ", -12.8, -16.1, 0.125, 1011.5, 2.1, 20, 0
1972-01-13 03:00:00, "SAO  ", -12.8, -15.6, 0.75, 1012.5, 2.6, 90, 0
1972-01-13 06:00:00, "SAO  ", -13.9, -17.8, 0.75, 1013, 1.5, 40, 0
1972-01-13 09:00:00, "SAO  ", -12.8, -16.7, 1, 1012.7, 0, 0, 0
1972-01-13 12:00:00, "SAO  ", -15.6, -20.6, 1, 1015.8, 11.3, 350, 0
1972-01-13 15:00:00, "SAO  ", -19.4, -25, 0.875, 1021.5, 14.9, 340, 0
1972-01-13 18:00:00, "SAO  ", -21.1, -28.3, 1, 1026.3, 9.3, 350, 0
1972-01-13 21:00:00, "SAO  ", -23.3, -31.1, 1, 1027.9, 17, 260, 0
1972-01-14 00:00:00, "SAO  ", -26.1, -32.8, 0, 1031.3, 10.3, 20, 0
1972-01-14 03:00:00, "SAO  ", -26.1, -33.3, 0.75, 1034, 4.1, 340, 0
1972-01-14 06:00:00, "SAO  ", -26.1, -33.3, 0.75, 1035, 2.6, 170, 0
1972-01-14 09:00:00, "SAO  ", -28.3, -32.8, 0.5, 1035, 2.1, 150, 0
1972-01-14 12:00:00, "SAO  ", -25.6, -32.2, 1, 1037.4, 2.6, 340, 0
1972-01-14 15:00:00, "SAO  ", -25, -31.7, 0.375, 1040.4, 10.3, 330, 0
1972-01-14 18:00:00, "SAO  ", -21.1, -30.6, 0, 1041.5, 9.3, 330, 0
1972-01-14 21:00:00, "SAO  ", -18.3, -30, 0, 1040.6, 6.7, 340, 0
1972-01-15 00:00:00, "SAO  ", -23.9, -32.8, 0.125, 1041.4, 3.6, 20, 0
1972-01-15 03:00:00, "SAO  ", -23.9, -30.6, 1, 1040.6, 4.1, 150, 0
1972-01-15 06:00:00, "SAO  ", -22.2, -30, 1, 1037.7, 7.2, 140, 0
1972-01-15 09:00:00, "SAO  ", -21.1, -27.2, 1, 1034.5, 6.7, 140, 0
1972-01-15 12:00:00, "SAO  ", -18.9, -25, 1, 1032, 5.2, 150, 0
1972-01-15 15:00:00, "SAO  ", -17.2, -22.8, 1, 1031.4, 2.1, 220, 0
1972-01-15 18:00:00, "SAO  ", -10.6, -16.1, 0.75, 1028.9, 2.6, 120, 0
1972-01-15 21:00:00, "SAO  ", -1.1, -7.2, 1, 1025.1, 4.1, 100, 0
1972-01-16 00:00:00, "SAO  ", -1.1, -7.8, 0.625, 1023.5, 1.5, 100, 0
1972-01-16 03:00:00, "SAO  ", -3.3, -8.9, 0.75, 1022.2, 2.6, 190, 0
1972-01-16 06:00:00, "SAO  ", -3.3, -8.3, 1, 1019.1, 1.5, 210, 0
1972-01-16 09:00:00, "SAO  ", -2.2, -7.8, 0.75, 1016.1, 3.6, 220, 0
1972-01-16 12:00:00, "SAO  ", 1.7, -9.4, 1, 1015.5, 2.6, 270, 0
1972-01-16 15:00:00, "SAO  ", 3.3, -10.6, 1, 1014.9, 4.1, 270, 0
1972-01-16 18:00:00, "SAO  ", 13.3, -6.1, 0.75, 1013.6, 5.2, 290, 0
1972-01-16 21:00:00, "SAO  ", 18.9, -9.4, 1, 1008.2, 5.2, 220, 0
1972-01-17 00:00:00, "SAO  ", 11.1, -11.1, 0.75, 1007.2, 5.2, 270, 0
1972-01-17 03:00:00, "SAO  ", 4.4, -8.9, 0.5, 1007.3, 2.6, 210, 0
1972-01-17 06:00:00, "SAO  ", 1.1, -9.4, 0, 1006, 0, 0, 0
1972-01-17 09:00:00, "SAO  ", 0.6, -11.7, 0, 1003.1, 3.6, 300, 0
1972-01-17 12:00:00, "SAO  ", -2.8, -10, 0, 1002.1, 3.1, 70, 0
1972-01-17 15:00:00, "SAO  ", -2.8, -10.6, 0.75, 1001.7, 2.1, 90, 0
1972-01-17 18:00:00, "SAO  ", 13.3, -7.8, 0.75, 999.2, 5.2, 360, 0
1972-01-17 21:00:00, "SAO  ", 15, -8.9, 0.875, 997, 0, 0, 0
1972-01-18 00:00:00, "SAO  ", 8.3, -7.8, 0.875, 997.3, 5.2, 270, 0
1972-01-18 03:00:00, "SAO  ", 6.7, -7.2, 1, 996.7, 5.7, 290, 0
1972-01-18 06:00:00, "SAO  ", 3.9, -7.2, 1, 995.6, 2.1, 60, 0
1972-01-18 09:00:00, "SAO  ", -1.7, -3.9, 0.75, 1000, 9.3, 330, 0
1972-01-18 12:00:00, "SAO  ", 0, -3.3, 1, 1003.4, 6.7, 350, 0
1972-01-18 15:00:00, "SAO  ", -1.1, -3.9, 1, 1007.8, 7.7, 330, 0
1972-01-18 18:00:00, "SAO  ", -6.1, -11.1, 1, 1012.6, 11.3, 350, 0
1972-01-18 21:00:00, "SAO  ", -7.8, -13.3, 1, 1015.1, 5.2, 20, 0
1972-01-19 00:00:00, "SAO  ", -9.4, -14.4, 1, 1016.8, 4.6, 30, 0
1972-01-19 03:00:00, "SAO  ", -10, -13.9, 1, 1016.4, 5.7, 140, 0
1972-01-19 06:00:00, "SAO  ", -9.4, -13.3, 1, 1015.1, 6.2, 130, 0
1972-01-19 09:00:00, "SAO  ", -10, -12.8, 1, 1016.6, 5.2, 50, 0
1972-01-19 12:00:00, "SAO  ", -12.8, -15, 1, 1019, 5.7, 30, 0
1972-01-19 15:00:00, "SAO  ", -13.3, -15.6, 1, 1019, 3.6, 120, 0
1972-01-19 18:00:00, "SAO  ", -11.7, -14.4, 1, 1018, 5.7, 140, 0
1972-01-19 21:00:00, "SAO  ", -7.2, -9.4, 1, 1012.4, 8.8, 150, 0
1972-01-20 00:00:00, "SAO  ", -8.3, -12.2, 1, 1014.5, 3.1, 70, 0
1972-01-20 03:00:00, "SAO  ", -11.7, -14.4, 0, 1017.3, 2.1, 150, 0
1972-01-20 06:00:00, "SAO  ", -10.6, -14.4, 0, 1017.9, 2.1, 330, 0
1972-01-20 09:00:00, "SAO  ", -10.6, -13.3, 0, 1019.7, 8.8, 360, 0
1972-01-20 12:00:00, "SAO  ", -12.8, -15.6, 1, 1023.2, 6.7, 350, 0
1972-01-20 15:00:00, "SAO  ", -12.2, -15, 1, 1025.5, 4.6, 10, 0
1972-01-20 18:00:00, "SAO  ", -12.2, -16.1, 1, 1027.9, 5.2, 40, 0
1972-01-20 21:00:00, "SAO  ", -12.2, -16.1, 1, 1024.5, 4.6, 120, 0
1972-01-21 00:00:00, "SAO  ", -12.2, -15.6, 1, 1023.5, 6.7, 130, 0
1972-01-21 03:00:00, "SAO  ", -13.3, -16.7, 0.125, 1019.5, 6.7, 130, 0
1972-01-21 06:00:00, "SAO  ", -11.7, -15, 0.125, 1013.8, 5.2, 120, 0
1972-01-21 09:00:00, "SAO  ", -8.3, -11.1, 0.125, 1006.6, 5.2, 80, 0
1972-01-21 12:00:00, "SAO  ", 6.7, -2.2, 1, 1001.2, 5.7, 270, 0
1972-01-21 15:00:00, "SAO  ", 8.9, -2.2, 1, 999.7, 10.3, 250, 0
1972-01-21 18:00:00, "SAO  ", 11.1, -2.8, 1, 998.2, 10.3, 270, 0
1972-01-21 21:00:00, "SAO  ", 5.6, -5, 1, 997.5, 9.3, 360, 0
1972-01-22 00:00:00, "SAO  ", 5, -1.1, 1, 999.9, 9.3, 300, 0
1972-01-22 03:00:00, "SAO  ", 0, -4.4, 0, 1001.8, 5.2, 340, 0
1972-01-22 06:00:00, "SAO  ", -2.8, -7.2, 0.25, 1002.4, 2.6, 260, 0
1972-01-22 09:00:00, "SAO  ", 2.8, -6.7, 0.625, 1002, 6.7, 280, 0
1972-01-22 12:00:00, "SAO  ", -2.8, -8.9, 0.25, 1003.6, 5.2, 300, 0
1972-01-22 15:00:00, "SAO  ", -1.7, -8.9, 0.875, 1004.4, 3.1, 290, 0
1972-01-22 18:00:00, "SAO  ", 4.4, -6.7, 0.75, 1003.4, 3.6, 170, 0
1972-01-22 21:00:00, "SAO  ", 5.6, -8.3, 1, 1000.3, 3.6, 150, 0
1972-01-23 00:00:00, "SAO  ", 2.2, -6.1, 1, 1002.1, 5.7, 50, 0
1972-01-23 03:00:00, "SAO  ", -5.6, -7.2, 1, 1006.4, 4.6, 40, 0
1972-01-23 06:00:00, "SAO  ", -6.1, -7.8, 1, 1006.4, 3.1, 150, 0
1972-01-23 09:00:00, "SAO  ", -5.6, -6.7, 1, 1005.6, 3.1, 110, 0
1972-01-23 12:00:00, "SAO  ", -5, -5.6, 1, 1005.6, 0, 0, 0
1972-01-23 15:00:00, "SAO  ", -5.6, -7.8, 1, 1005.8, 1.5, 350, 0
1972-01-23 18:00:00, "SAO  ", -1.1, -1.7, 1, 1003.8, 5.2, 130, 0
1972-01-23 21:00:00, "SAO  ", 2.2, 0, 1, 999.8, 7.7, 190, 3
